date,OT,STD,Number of Observations
1749/1/1 0:00,96.7,-1,-1
1749/2/1 0:00,104.3,-1,-1
1749/3/1 0:00,116.7,-1,-1
1749/4/1 0:00,92.8,-1,-1
1749/5/1 0:00,141.7,-1,-1
1749/6/1 0:00,139.2,-1,-1
1749/7/1 0:00,158,-1,-1
1749/8/1 0:00,110.5,-1,-1
1749/9/1 0:00,126.5,-1,-1
1749/10/1 0:00,125.8,-1,-1
1749/11/1 0:00,264.3,-1,-1
1749/12/1 0:00,142,-1,-1
1750/1/1 0:00,122.2,-1,-1
1750/2/1 0:00,126.5,-1,-1
1750/3/1 0:00,148.7,-1,-1
1750/4/1 0:00,147.2,-1,-1
1750/5/1 0:00,150,-1,-1
1750/6/1 0:00,166.7,-1,-1
1750/7/1 0:00,142.3,-1,-1
1750/8/1 0:00,171.7,-1,-1
1750/9/1 0:00,152,-1,-1
1750/10/1 0:00,109.5,-1,-1
1750/11/1 0:00,105.5,-1,-1
1750/12/1 0:00,125.7,-1,-1
1751/1/1 0:00,116.7,-1,-1
1751/2/1 0:00,72.5,-1,-1
1751/3/1 0:00,75.5,-1,-1
1751/4/1 0:00,94,-1,-1
1751/5/1 0:00,101.2,-1,-1
1751/6/1 0:00,84.5,-1,-1
1751/7/1 0:00,110.5,-1,-1
1751/8/1 0:00,99.7,-1,-1
1751/9/1 0:00,39.2,-1,-1
1751/10/1 0:00,38.7,-1,-1
1751/11/1 0:00,47.5,-1,-1
1751/12/1 0:00,73.3,-1,-1
1752/1/1 0:00,58.3,-1,-1
1752/2/1 0:00,83.3,-1,-1
1752/3/1 0:00,118.3,-1,-1
1752/4/1 0:00,98.8,-1,-1
1752/5/1 0:00,99.5,-1,-1
1752/6/1 0:00,66,-1,-1
1752/7/1 0:00,130.7,-1,-1
1752/8/1 0:00,48.8,-1,-1
1752/9/1 0:00,45.2,-1,-1
1752/10/1 0:00,77.7,-1,-1
1752/11/1 0:00,62.7,-1,-1
1752/12/1 0:00,66.7,-1,-1
1753/1/1 0:00,73.3,-1,-1
1753/2/1 0:00,53.3,-1,-1
1753/3/1 0:00,76.2,-1,-1
1753/4/1 0:00,63.3,-1,-1
1753/5/1 0:00,60,-1,-1
1753/6/1 0:00,52.8,-1,-1
1753/7/1 0:00,36.7,-1,-1
1753/8/1 0:00,65,-1,-1
1753/9/1 0:00,46.7,-1,-1
1753/10/1 0:00,41.7,-1,-1
1753/11/1 0:00,33.3,-1,-1
1753/12/1 0:00,11.2,-1,-1
1754/1/1 0:00,0,-1,-1
1754/2/1 0:00,5,-1,-1
1754/3/1 0:00,2.8,-1,-1
1754/4/1 0:00,22.8,-1,-1
1754/5/1 0:00,34.5,-1,-1
1754/6/1 0:00,44.5,-1,-1
1754/7/1 0:00,31.3,-1,-1
1754/8/1 0:00,20.5,-1,-1
1754/9/1 0:00,13.7,-1,-1
1754/10/1 0:00,40.2,-1,-1
1754/11/1 0:00,22,-1,-1
1754/12/1 0:00,7,-1,-1
1755/1/1 0:00,17,-1,-1
1755/2/1 0:00,18.7,-1,-1
1755/3/1 0:00,11.3,-1,-1
1755/4/1 0:00,10.8,-1,-1
1755/5/1 0:00,0,-1,-1
1755/6/1 0:00,0,-1,-1
1755/7/1 0:00,14.3,-1,-1
1755/8/1 0:00,5.3,-1,-1
1755/9/1 0:00,29.7,-1,-1
1755/10/1 0:00,39.5,-1,-1
1755/11/1 0:00,11.3,-1,-1
1755/12/1 0:00,33.3,-1,-1
1756/1/1 0:00,20.8,-1,-1
1756/2/1 0:00,11.8,-1,-1
1756/3/1 0:00,9,-1,-1
1756/4/1 0:00,15.7,-1,-1
1756/5/1 0:00,20.8,-1,-1
1756/6/1 0:00,21.5,-1,-1
1756/7/1 0:00,6,-1,-1
1756/8/1 0:00,10.7,-1,-1
1756/9/1 0:00,19.7,-1,-1
1756/10/1 0:00,23.8,-1,-1
1756/11/1 0:00,28.3,-1,-1
1756/12/1 0:00,15.7,-1,-1
1757/1/1 0:00,23.5,-1,-1
1757/2/1 0:00,35.3,-1,-1
1757/3/1 0:00,43.7,-1,-1
1757/4/1 0:00,50,-1,-1
1757/5/1 0:00,63.5,-1,-1
1757/6/1 0:00,21.3,-1,-1
1757/7/1 0:00,41.7,-1,-1
1757/8/1 0:00,85.5,-1,-1
1757/9/1 0:00,66.2,-1,-1
1757/10/1 0:00,54.2,-1,-1
1757/11/1 0:00,107.8,-1,-1
1757/12/1 0:00,55.8,-1,-1
1758/1/1 0:00,62.7,-1,-1
1758/2/1 0:00,86.7,-1,-1
1758/3/1 0:00,81.7,-1,-1
1758/4/1 0:00,120.5,-1,-1
1758/5/1 0:00,77.3,-1,-1
1758/6/1 0:00,75,-1,-1
1758/7/1 0:00,73.3,-1,-1
1758/8/1 0:00,64.5,-1,-1
1758/9/1 0:00,104.2,-1,-1
1758/10/1 0:00,62.8,-1,-1
1758/11/1 0:00,71.7,-1,-1
1758/12/1 0:00,71.7,-1,-1
1759/1/1 0:00,80.5,-1,-1
1759/2/1 0:00,73.3,-1,-1
1759/3/1 0:00,78,-1,-1
1759/4/1 0:00,78.3,-1,-1
1759/5/1 0:00,81.7,-1,-1
1759/6/1 0:00,83.3,-1,-1
1759/7/1 0:00,85,-1,-1
1759/8/1 0:00,118.8,-1,-1
1759/9/1 0:00,128.7,-1,-1
1759/10/1 0:00,99.5,-1,-1
1759/11/1 0:00,77.2,-1,-1
1759/12/1 0:00,95,-1,-1
1760/1/1 0:00,112.2,-1,-1
1760/2/1 0:00,99.2,-1,-1
1760/3/1 0:00,124.5,-1,-1
1760/4/1 0:00,97.2,-1,-1
1760/5/1 0:00,120,-1,-1
1760/6/1 0:00,80.5,-1,-1
1760/7/1 0:00,110,-1,-1
1760/8/1 0:00,126,-1,-1
1760/9/1 0:00,102.2,-1,-1
1760/10/1 0:00,84.3,-1,-1
1760/11/1 0:00,99.5,-1,-1
1760/12/1 0:00,101.7,-1,-1
1761/1/1 0:00,116.7,-1,-1
1761/2/1 0:00,151.7,-1,-1
1761/3/1 0:00,134.5,-1,-1
1761/4/1 0:00,119.5,-1,-1
1761/5/1 0:00,178.7,-1,-1
1761/6/1 0:00,165.5,-1,-1
1761/7/1 0:00,156.8,-1,-1
1761/8/1 0:00,151.8,-1,-1
1761/9/1 0:00,167.8,-1,-1
1761/10/1 0:00,147.8,-1,-1
1761/11/1 0:00,149.5,-1,-1
1761/12/1 0:00,76.7,-1,-1
1762/1/1 0:00,73,-1,-1
1762/2/1 0:00,121.3,-1,-1
1762/3/1 0:00,76.2,-1,-1
1762/4/1 0:00,100.3,-1,-1
1762/5/1 0:00,66.5,-1,-1
1762/6/1 0:00,128.5,-1,-1
1762/7/1 0:00,56.3,-1,-1
1762/8/1 0:00,112.8,-1,-1
1762/9/1 0:00,114.2,-1,-1
1762/10/1 0:00,115.5,-1,-1
